n,deslocamento,x,y
731,4314,43,14
732,4318,43,18
733,4322,43,22
734,4326,43,26
735,4330,43,30
736,4334,43,34
737,4338,43,38
738,4342,43,42
739,4346,43,46
740,4350,43,50
741,4354,43,54
742,4358,43,58
743,4362,43,62
744,4366,43,66
745,4370,43,70
746,4374,43,74
747,4378,43,78
748,4382,43,82
749,4386,43,86
750,4390,43,90
751,4394,43,94
752,4398,43,98
753,4402,44,2
754,4406,44,6
755,4410,44,10
756,4414,44,14
757,4418,44,18
758,4422,44,22
759,4426,44,26
760,4430,44,30
761,4434,44,34
762,4438,44,38
763,4442,44,42
764,4446,44,46
765,4450,44,50
766,4454,44,54
767,4458,44,58
768,4462,44,62
769,4466,44,66
770,4470,44,70
771,4474,44,74
772,4478,44,78
773,4482,44,82
774,4486,44,86
775,4490,44,90
776,4494,44,94
777,4498,44,98
778,4502,45,2
779,4506,45,6
780,4510,45,10
781,4514,45,14
782,4518,45,18
783,4522,45,22
784,4526,45,26
785,4530,45,30
786,4534,45,34
787,4538,45,38
788,4542,45,42
789,4546,45,46
790,4550,45,50
791,4554,45,54
792,4558,45,58
793,4562,45,62
794,4566,45,66
795,4570,45,70
796,4574,45,74
797,4578,45,78
798,4582,45,82
799,4586,45,86
800,4590,45,90
801,4594,45,94
802,4598,45,98
803,4602,46,2
804,4606,46,6
805,4610,46,10
806,4614,46,14
807,4618,46,18
808,4622,46,22
809,4626,46,26
810,4630,46,30
811,4634,46,34
812,4638,46,38
813,4642,46,42
814,4646,46,46
815,4650,46,50
816,4654,46,54
817,4658,46,58
818,4662,46,62
819,4666,46,66
820,4670,46,70
821,4674,46,74
822,4678,46,78
823,4682,46,82
824,4686,46,86
825,4690,46,90
826,4694,46,94
827,4698,46,98
828,4702,47,2
829,4706,47,6
830,4710,47,10
831,4714,47,14
832,4718,47,18
833,4722,47,22
834,4726,47,26
835,4730,47,30
836,4734,47,34
837,4738,47,38
838,4742,47,42
839,4746,47,46
840,4750,47,50
841,4754,47,54
842,4758,47,58
843,4762,47,62
844,4766,47,66
845,4770,47,70
846,4774,47,74
847,4778,47,78
848,4782,47,82
849,4786,47,86
850,4790,47,90
851,4794,47,94
852,4798,47,98
853,4802,48,2
854,4806,48,6
855,4810,48,10
856,4814,48,14
857,4818,48,18
858,4822,48,22
859,4826,48,26
860,4830,48,30
861,4834,48,34
862,4838,48,38
863,4842,48,42
864,4846,48,46
865,4850,48,50
866,4854,48,54
867,4858,48,58
868,4862,48,62
869,4866,48,66
870,4870,48,70
871,4874,48,74
872,4878,48,78
873,4882,48,82
874,4886,48,86
875,4890,48,90
876,4894,48,94
877,4898,48,98
878,4902,49,2
879,4906,49,6
880,4910,49,10
881,4914,49,14
882,4918,49,18
883,4922,49,22
884,4926,49,26
885,4930,49,30
886,4934,49,34
887,4938,49,38
888,4942,49,42
889,4946,49,46
890,4950,49,50
891,4954,49,54
892,4958,49,58
893,4962,49,62
894,4966,49,66
895,4970,49,70
896,4974,49,74
897,4978,49,78
898,4982,49,82
899,4986,49,86
900,4990,49,90
901,4994,49,94
902,4998,49,98
903,5002,50,2
904,5006,50,6
905,5010,50,10
906,5014,50,14
907,5018,50,18
908,5022,50,22
909,5026,50,26
910,5030,50,30
911,5034,50,34
