n,offset,x,y
694,6026,60,26
695,6062,60,62
696,6034,60,34
697,6150,61,50
698,6178,61,78
699,6046,60,46
700,6054,60,54
701,6074,60,74
702,6154,61,54
703,5970,59,70
704,6070,60,70
705,6090,60,90
706,6190,61,90
707,6102,61,2
708,6110,61,10
709,6114,61,14
710,5994,59,94
711,6182,61,82
712,6194,61,94
713,6118,61,18
714,6122,61,22
715,6158,61,58
716,6214,62,14
717,6202,62,2
718,6210,62,10
719,5986,59,86
720,5990,59,90
721,6238,62,38
722,6426,64,26
723,6306,63,6
724,6278,62,78
725,6262,62,62
726,6402,64,2
727,6458,64,58
728,6390,63,90
729,6274,62,74
730,6462,64,62
731,6226,62,26
732,6222,62,22
733,6350,63,50
734,6234,62,34
735,6330,63,30
736,6366,63,66
737,6230,62,30
738,6442,64,42
739,6242,62,42
740,6266,62,66
741,6354,63,54
742,6418,64,18
743,6406,64,6
744,6246,62,46
745,6410,64,10
746,6414,64,14
747,6254,62,54
748,6286,62,86
749,6346,63,46
750,6422,64,22
751,6378,63,78
752,6290,62,90
753,6250,62,50
754,6358,63,58
755,6362,63,62
756,6258,62,58
757,6302,63,2
758,6282,62,82
759,6326,63,26
760,6294,62,94
761,6430,64,30
762,6318,63,18
763,6434,64,34
764,6382,63,82
765,6270,62,70
766,6438,64,38
767,6374,63,74
768,6446,64,46
769,6370,63,70
770,6398,63,98
771,6454,64,54
772,6450,64,50
773,6298,62,98
774,6310,63,10
775,6314,63,14
776,6322,63,22
777,6334,63,34
778,6338,63,38
779,6342,63,42
780,6386,63,86
781,6394,63,94
782,6700,67,0
783,6504,65,4
784,6516,65,16
785,6560,65,60
786,6572,65,72
787,6564,65,64
788,6704,67,4
789,6708,67,8
790,6492,64,92
791,6580,65,80
792,6628,66,28
793,6640,66,40
794,6536,65,36
795,6724,67,24
796,6588,65,88
797,6544,65,44
798,6688,66,88
799,6692,66,92
800,6540,65,40
801,6732,67,32
802,6684,66,84
803,6664,66,64
804,6716,67,16
805,6496,64,96
806,6712,67,12
807,6528,65,28
808,6660,66,60
809,6596,65,96
810,6636,66,36
811,6480,64,80
812,6668,66,68
813,6696,66,96
814,6728,67,28
815,6500,65,0
816,6616,66,16
817,6720,67,20
818,6672,66,72
819,6556,65,56
820,6484,64,84
821,6488,64,88
822,6508,65,8
823,6548,65,48
824,6532,65,32
825,6592,65,92
826,6632,66,32
827,6512,65,12
828,6520,65,20
829,6524,65,24
830,6552,65,52
831,6568,65,68
832,6644,66,44
833,6576,65,76
834,6584,65,84
835,6676,66,76
836,6600,66,0
837,6604,66,4
838,6608,66,8
839,6648,66,48
840,6612,66,12
841,6620,66,20
842,6624,66,24
843,6652,66,52
844,6656,66,56
845,6680,66,80
846,6848,68,48
847,6756,67,56
848,6920,69,20
